front,back,hint,publishedAt
"misslingen","(formal / literary) to fail (used when something does not turn out as intended or desired)","Ihr Versuch, das Problem zu lösen, ist misslungen.\nDie Aufführung ist ihm misslungen, obwohl er hart geübt hat.\nDie Präsentation misslang, weil die Technik nicht funktionierte.","2025-11-01T11:29:05.530Z"
"der Schaden","the damage, the harm","Die Versicherung übernimmt die Schäden, die durch den Unfall entstanden sind.\nWir müssen den Schaden an dem Auto reparieren lassen.\nDer Sturm hat viele Schäden an den Häusern verursacht.\n(die Schäden)","2025-11-06T13:57:25.414Z"
"das Terrain","the terrain","Wir müssen das Terrain erkunden, bevor wir mit dem Bau beginnen.\nDas Terrain ist sehr uneben und schwierig zu durchqueren.\nDie Wanderer haben das Terrain sorgfältig geplant, um sicher zu bleiben.","2025-11-06T13:57:24.247Z"
"begründen","to justify","Um die Theorie zu verstehen, müssen wir die Grundlagen begründen.\nDer Lehrer hat uns gebeten, unsere Meinungen zu begründen.\nIch muss meine Entscheidung, die Schule zu wechseln, gut begründen.","2025-09-30T22:48:58.821Z"
"absprechen","to agree on, to arrange","Lasst uns die Details für die Feier absprechen.\nDie Lehrer haben die Regeln für das Projekt abgesprochen.\nWir müssen das Treffen für nächste Woche absprechen.","2025-10-31T18:02:58.568Z"
"aufmuntern","to cheer up, to encourage","Ein gutes Buch kann dich manchmal aufmuntern, wenn du traurig bist.\nDer Lehrer hat die Schüler aufgemuntert, als sie nervös waren.\nIch versuche, meine Freundin aufzumuntern, weil sie sich schlecht fühlt.","2025-11-01T11:29:04.517Z"
"begreiflich","understandable / comprehensible (more general than nachvollziehbar, and sometimes implies emotional or intuitive comprehension)","Das Leid der Familie ist nur schwer begreiflich.\nEs ist kaum begreiflich, wie er das geschafft hat.\nDie Lehrerin erklärte das Thema so begreiflich, dass alle Schüler es verstanden haben.","2025-10-31T18:02:57.649Z"
"der Ausfall","the failure, the loss, the breakdown (used in a variety of contexts, such as a failure in a system, a cancellation, or a loss of something valuable)","Der Ausfall der Maschine führte zu Verzögerungen in der Produktion.\nWir mussten den Unterricht wegen des Ausfalls des Lehrers absagen.\nDer Ausfall des Stroms hat viele Menschen betroffen.\n(die Ausfälle)","2025-08-18T22:33:36.117Z"
"das Röntgen","the X-Ray","Die Röntgenstrahlen können helfen, Krankheiten und Verletzungen zu diagnostizieren.\nDer Arzt hat mir geraten, ein Röntgenbild meiner Lunge machen zu lassen.\nIch muss zum Röntgen gehen, um mein gebrochenes Bein zu überprüfen.","2025-11-09T23:39:08.230Z"
"die Belästigung","the harassment, the annoyance","Die Polizei wurde gerufen, um die Belästigung im Park zu untersuchen\nEr fühlte sich durch die ständigen Fragen seiner Nachbarn belästigt.\nDie Belästigung am Arbeitsplatz ist ein ernstes Problem.","2025-11-01T11:29:03.130Z"
"die Mitnahme","the takeaway, bringing with","Wir bieten eine Mitnahme von Speisen und Getränken an.\nBitte beachten Sie die Mitnahmebedingungen für Ihr Gepäck.\nDie Mitnahme von Haustieren ist im Zug erlaubt.\nDie Mitnahme von Speisen ist hier erlaubt.","2025-11-06T13:57:27.891Z"
"die Zusage","the confirmation , the acceptance (refers to a positive response or agreement to a proposal, invitation, or request)","Er wartet noch auf die Zusage von der Universität.\nDie Zusage zur Hochzeit kam rechtzeitig.\nIch habe die Zusage für das Praktikum erhalten.\nIch freue mich über deine Zusage zur Party.","2025-10-31T18:03:00.431Z"
"gehörig","proper, properly (used to describe something that is fitting or in accordance with certain standards or expectations)","Wir haben die gehörige Zeit für die Vorbereitung eingeplant.\nDie Schüler sollten sich gehörig benehmen, wenn der Lehrer spricht.\nEs ist gehörig, dass man sich bei einem Geschenk bedankt.","2025-09-18T23:03:59.142Z"
"zustimmen","to agree, to consent","Kannst du mir zustimmen, dass das eine gute Idee ist?\nDie Mehrheit der Leute hat dem Vorschlag zugestimmt.\nIch stimme dir zu.","2025-09-05T22:59:12.597Z"
"umbringen","to kill, to murder (informal)","Die Geschichte handelt von einem Mann, der versucht, seine Feinde umzubringen.\nEr hat gesagt, dass er ihn umbringen wird.\nIch bringe dich um, wenn du nicht aufhörst zu nerven.\nEr hat seinen Bruder umgebracht.\nBring dich nur nicht um!","2025-09-30T22:48:57.947Z"
"das Lebensgefühl","the way of life (refers to a person's overall emotional state or attitude towards life, often encompassing their experiences, values, and outlook)","Nach dem Urlaub hatte ich ein ganz neues Lebensgefühl.\nDie Musik hat ein besonderes Lebensgefühl vermittelt.\nIn der Natur zu sein, gibt mir ein positives Lebensgefühl.","2025-11-09T23:39:10.028Z"
"der Zeitschriftenverlag","the magazine publisher","Im Zeitschriftenverlag arbeiten viele kreative Menschen, die spannende Inhalte erstellen.\nDer Zeitschriftenverlag hat eine neue Ausgabe seiner beliebten Modezeitschrift veröffentlicht.","2025-10-31T18:03:00.849Z"
"der Ehrgeiz","the ambition, drive","Ohne Ehrgeiz wird man selten Erfolg haben.\nSie verfolgt ihre Ziele mit viel Ehrgeiz.\nEr hat großen Ehrgeiz, ein erfolgreicher Arzt zu werden.","2025-11-06T13:57:23.166Z"
"pflegen","to care for, to take care of, to maintain something","Wir pflegen regelmäßig Kontakt zu unseren Freunden.\nEr pflegt seine kranke Mutter.\nIch pflege meinen Garten.","2025-11-09T23:39:09.745Z"
"schädigen","to damage (used in contexts where there is a negative impact on health, property, or well-being)","Die Lärmbelästigung schädigt die Lebensqualität der Anwohner.\nRauchen kann die Gesundheit schädigen.\nDie Umwelt wird durch Plastikmüll geschädigt.","2025-11-06T13:57:26.695Z"
"sich umziehen","(reflexive) to get changed","Er zieht sich immer nach der Arbeit um, bevor er nach Hause geht.\nBevor wir ins Kino gehen, ziehe ich mich schnell um.\nNach dem Schwimmen muss ich mich umziehen.","2025-11-06T13:57:23.308Z"
"misslungen","failed","Der Kuchen ist misslungen, weil ich das Rezept nicht richtig befolgt habe.\nDas Experiment ist misslungen und wir müssen es noch einmal versuchen.\nSein Versuch, Deutsch zu sprechen, war leider misslungen.","2025-11-01T11:29:05.310Z"
"die Vorgehensweise","the procedure, the course of action, the approach (often refers to a specific plan or method to achieve a goal)","Die Vorgehensweise zur Lösung des Problems wurde im Meeting besprochen.\nWir müssen unsere Vorgehensweise überdenken, um effizienter zu arbeiten.\nDie Vorgehensweise bei der Durchführung des Experiments muss genau befolgt werden.","2025-09-16T23:00:29.914Z"
"hob","lifted","Er hob die schwere Kiste auf den Tisch.","2025-04-21T14:40:06.029Z"
"abgeben","to submit, to hand over (often used when someone is giving something to another person or authority)","Er hat seine Schlüssel im Büro abgegeben.\nKannst du mir bitte das Buch abgeben?\nIch muss das Formular bis Freitag abgeben.","2025-09-03T22:16:12.286Z"
"die Region","the region","Die Region ist bekannt für ihre kulinarischen Spezialitäten.\nIn dieser Region gibt es viele traditionelle Feste.\nDie Region hat viele schöne Landschaften.","2025-11-06T13:57:24.599Z"
"herunterfallen","to fall down","Als ich die Treppe hinunterging, ist mein Handy heruntergefallen.\nDie Bücher sind vom Tisch heruntergefallen.\nDer Apfel ist vom Baum heruntergefallen.","2025-11-06T13:57:27.262Z"
"ums","at","Wir gehen ums Haus.","2025-04-07T20:11:44.322Z"
"hierbei","in this case, in this context (often used to refer to something that has just been mentioned or is relevant to the current discussion)","Ich möchte hierbei auf die Vorteile hinweisen.\nHierbei handelt es sich um ein wichtiges Thema.\nWir müssen hierbei die Regeln beachten.\nIch habe das Problem hierbei nicht verstanden.","2025-11-01T11:29:03.463Z"
"der Einspruch","the objection, the appeal (refers to a formal statement or action taken to express disagreement or to challenge a decision)","Er hat seinen Einspruch klar und deutlich formuliert.\nDer Einspruch wurde fristgerecht eingereicht.\nIch möchte gegen die Entscheidung Einspruch erheben.\nIch erhebe Einspruch gegen diese Entscheidung.","2025-10-31T18:02:59.277Z"
"aushalten","to endure,withstand,tolerate","Ich kann den Lärm nicht mehr aushalten.","2025-04-18T22:40:16.120Z"
"stockend","faltering, halting, stuttering (used to refer to speech that is not smooth or fluent or any process that is not proceeding smoothly)","Seine Rede geriet immer wieder ins Stocken, da er nervös war.\nDie Verhandlungen zwischen den beiden Parteien verlaufen stockend.\nDer Verkehr auf der Autobahn stockt.","2025-08-18T22:34:23.169Z"
"endet","to end, to finish (3rd person singular) (used to describe the conclusion of an event, action, or process)","Das Konzert endet mit einem großen Feuerwerk.\nDie Schule endet in zwei Wochen.\nDer Film endet um 20 Uhr.","2025-09-08T21:01:11.008Z"
"der Kamin","the chimney, the fireplace","Die Rauchgase werden durch den Kamin abgeleitet.\nDer Kamin ist verstopft.\nWir haben einen Kamin im Wohnzimmer.","2025-09-30T22:48:58.460Z"
"gehalten","held, delivered (presentation or a speech)","Er hat seine Meinung zu diesem Thema klar gehalten.\nDie Präsentation wurde gestern in der Schule gehalten.\nDie Rede wurde gestern gehalten.","2025-08-19T13:14:54.268Z"
"tollen","to romp/frolic","Die Hunde tollen ausgelassen am Strand.","2024-07-25T20:26:53.013Z"
"der Schwindel","dizziness, veritgo","Sie fühlte sich im Gedränge der Menschenmenge von einem Schwindel erfasst.\nDer Schwindel überkam mich, als ich auf die hohe Brücke schaute.\nNach dem schnellen Aufstehen hatte ich einen leichten Schwindel.","2025-09-20T12:20:04.597Z"
"dadurch","thereby, through that","Sie hat hart gearbeitet, dadurch konnte sie ihre Ziele erreichen.\nEs hat viel geregnet, dadurch sind die Straßen überflutet.\nEr hat viel gelernt, dadurch hat er die Prüfung bestanden.","2025-09-20T12:20:00.388Z"
"sich anschaffen","(ref.) to acquire, to obtain, to buy (used in the context of obtaining something, whether it be an object, a pet, or even a partner)","Wir haben uns einen Hund angeschafft.\nEr hat sich ein neues Handy angeschafft, weil das alte kaputt war.\nIch möchte mir ein neues Fahrrad anschaffen.","2025-11-01T11:29:04.831Z"
"die Verschärfung","the intensification, tightening, escalation","Die Verschärfung der Sicherheitsmaßnahmen ist notwendig, um die Bevölkerung zu schützen.","2025-08-04T22:55:27.479Z"
"sich herausbilden","to take shape, to develop, to form (reflexive)","Die Struktur des Moleküls bildet sich durch chemische Reaktionen heraus.\nDie Persönlichkeit eines Menschen bildet sich im Laufe des Lebens heraus.\nEine Tendenz, sich jeweils für pragmatische Lösungen zu entscheiden, bildet sich heraus.","2025-09-16T23:00:34.530Z"
"die Qual der Wahl haben","to have many options to choose from","","2025-11-09T23:39:08.562Z"
"die Erwägung","the consideration","Nach sorgfältiger Erwägung entschied er sich für die andere Option.","2025-08-04T22:57:11.781Z"
"der Anbau","the cultivation,  the construction (the growing of plants or crops, or in architectural contexts refers to the extension or addition to a building)","Der Anbau von Obstbäumen erfordert viel Geduld und Pflege.\nWir planen den Anbau eines neuen Flügels an die Schule.\nDer Anbau von Gemüse ist in vielen Gärten sehr beliebt.","2025-11-06T13:57:28.378Z"
"vorwerfen","to accuse, to blame (used when someone blames another person for something or expresses disapproval of their actions)","Wir werfen der Regierung vor, nicht genug für den Umweltschutz zu tun.\nEr wirft mir vor, dass ich nicht genug arbeite.\nIch werfe ihm vor, dass er zu spät gekommen ist.","2025-08-19T13:14:51.120Z"
"schand","shameful","","2025-07-19T14:03:30.988Z"
"die Einschätzung","the assessment, evaluation","Die Einschätzung der Lage war sehr positiv.","2025-04-18T23:02:48.251Z"
"verrechnen","to offset, to settle accounts","Kannst du mir helfen, die Ausgaben für den Urlaub zu verrechnen?\nDie Firma wird die Rückerstattung mit der nächsten Rechnung verrechnen.\nWir müssen die Kosten für die Veranstaltung verrechnen.","2025-11-01T11:29:03.833Z"
"aufsuchen","to seek out, to visit","Sie hat beschlossen, die Bibliothek aufzusuchen, um ein Buch zu finden.\nIch werde den Arzt aufsuchen, um meine Gesundheit zu überprüfen.\nIch werde meine Großeltern am Wochenende aufsuchen.","2025-11-01T11:29:02.407Z"
"dreht sich alles um das Nomadenleben,","is all about nomadic life,","","2025-04-26T12:13:32.844Z"
"verdrehen","to twist, to turn, to distort something","Sie hat ihre Haare verdreht.\nEr hat die Wahrheit verdreht.\nIch habe meinen Knöchel verdreht.\nSie verdreht den Stoff, um ihn zu trocknen.\nDie Medien haben die Ereignisse verdreht.","2025-09-05T22:59:21.516Z"
"das Date","the date (a romantic outing)","Ich habe morgen ein Date mit Lisa.\nWir haben ein Date in einem schönen Restaurant geplant.\n(die Dates)","2025-09-05T22:59:14.041Z"
"die Auswahlliste","dropdown list","","2025-04-28T21:16:55.023Z"
"Pärchen","Couple","ja das gibt ein Pärchen und die eine Person ist 40 Jahre alt und die andere Person ist 30 Jahre alt,","2025-08-17T15:51:18.395Z"
"kuscheln","to cuddle, to snuggle (describes the action of holding someone close in a warm and affectionate way, often to provide comfort or express love)","Nach einem langen Tag möchte ich einfach nur mit meinem Hund kuscheln.\nDie Kinder kuscheln sich in ihre Decken, weil es draußen kalt ist.\nAm Abend kuscheln wir uns auf das Sofa und schauen einen Film.","2025-08-18T22:34:48.498Z"
"zulassen","to allow, to permit","Der Lehrer lässt das Abschreiben während der Prüfung nicht zu.\nDie Schule lässt keine Handys im Unterricht zu.\nIch lasse das zu, weil ich dir vertraue.","2025-09-30T22:48:57.789Z"
"anklagen","to charge with a crime","Sie wurde angeklagt, weil sie gegen das Gesetz verstoßen hat.\nDie Organisation plant, die Firma wegen Umweltverschmutzung anzuklagen.\nDie Staatsanwaltschaft hat beschlossen, ihn wegen Betrugs anzuklagen.","2025-09-05T22:59:20.847Z"
"der Schornstein","the chimney","Der alte Schornstein ist sehr hoch.\nWir müssen den Schornstein reinigen.\nDer Schornstein raucht stark.\n(die Schornsteine)","2025-09-30T22:48:58.280Z"
"unüblich","unusual","Das Gegenteil ist unüblich.","2025-05-06T22:32:19.269Z"
"die Auflage","edition","Die Auflage für das Projekt ist, dass alle Teilnehmer pünktlich erscheinen müssen.","2023-09-13T21:26:47.977Z"
"rügen","to reprimand, to criticize (often used when someone expresses disapproval or points out a mistake)","Meine Eltern haben mich gerügt, weil ich meine Hausaufgaben nicht gemacht habe.\nDer Lehrer rügte den Schüler für sein unordentliches Verhalten.\nDer Lehrer rügte Peters Verhalten.","2025-09-03T22:16:01.456Z"
"chronisch","chronic","Sie hat chronischen Stress, der ihre Lebensqualität beeinträchtigt.\nDie chronischen Schmerzen machen es ihm schwer, sich zu konzentrieren.\nEr leidet an einer chronischen Krankheit, die ihn seit Jahren plagt.","2025-09-17T21:28:04.020Z"
"fegen","sweep","Ich muss das Wohnzimmer fegen, bevor die Gäste kommen.","2025-04-26T12:07:22.059Z"
"ausgeglichen","balanced","Emotional intelligente Menschen sind meist ausgeglichen und wirken angenehm auf andere.","2024-09-18T16:19:19.474Z"
"unterwegs","on the way","Wir sind unterwegs in den Urlaub.\nUnterwegs habe ich viele interessante Dinge gesehen.\nIch bin unterwegs zum Bahnhof.\nWir sind unterwegs nach Berlin.\nEr ist immer unterwegs und reist viel.","2025-09-03T22:16:05.684Z"
"sich aneignen","to acquire (knowledge or skills), to appropriate, (used in the context of gaining knowledge, skills, or possessions)","Die Schüler müssen sich die neuen Regeln schnell aneignen, um im Spiel erfolgreich zu sein.\nEr hat sich im Laufe der Jahre viel Wissen über die Geschichte angeeignet.\nUm die Sprache zu beherrschen, muss man sich viele Vokabeln aneignen.","2025-10-31T18:02:57.883Z"
"die Faust","the fist","Die Faust ist ein Symbol für Macht und Entschlossenheit.","2025-05-24T08:48:04.461Z"
"die Lücke","the gap, the space","Die Lücke zwischen den beiden Stühlen ist zu klein, um einen Tisch zu stellen.\nIch habe eine Lücke in meinem Wissen über die Geschichte.\nIn der Wand gibt es eine Lücke, durch die kalte Luft zieht.\n(die Lücken)","2025-09-09T20:37:36.420Z"
"die Phase","the phase","Wir befinden uns gerade in einer Übergangsphase.\nDie Pubertät ist eine schwierige Phase im Leben eines Jugendlichen.\nIn der ersten Phase des Projekts haben wir die Grundlagen gelegt.\n(die Phasen)","2025-09-08T21:01:12.578Z"
"näherkommen","to come nearer, to get closer, to approach (used to describe the action of approaching something or someone, either physically or metaphorically)","Ich möchte dir in unseren Gesprächen näherkommen.\nDie Kinder kommen dem Spielplatz immer näher.\nWir müssen dem Problem näherkommen, um eine Lösung zu finden.","2025-09-17T21:28:02.564Z"
"der Missstand","the grievance","Der Missstand in der Schule muss dringend behoben werden.","2025-08-04T22:54:06.420Z"
"niederschreiben","to write down, to record (often used when you want to note something on paper or document information)","Er hat seine Gedanken in einem Tagebuch niedergeschrieben.\nBitte schreibe deine Ideen für das Projekt nieder.\nIch werde die wichtigsten Punkte aus dem Unterricht niederschreiben.","2025-08-19T13:14:48.717Z"
"die Beglaubigung","the certification, the authentication, the notarization","Die Behörde verlangt eine Beglaubigung aller eingereichten Dokumente.\nDie Beglaubigung der Unterschrift ist notwendig für den Vertrag.\nIch brauche eine Beglaubigung für mein Abschlusszeugnis.","2025-10-31T18:02:58.417Z"
"hinauszögern","to delay, to postpone (refers to the act of putting something off to a later time or making something take longer than it should)","Sie zögert die Prüfung hinaus, weil sie sich nicht bereit fühlt.\nWir sollten das Projekt nicht weiter hinauszögern, sonst wird es zu spät.\nEr hat die Entscheidung, umzuziehen, immer wieder hinausgezögert.","2025-09-16T23:00:30.386Z"
"die Minderheit","the minority","Die Regierung hat Gesetze zum Schutz von Minderheiten erlassen.","2025-06-05T18:59:30.612Z"
"verängstigt","frightened","Sie fühlte sich verängstigt, als sie allein im Dunkeln war.","2024-09-09T22:21:49.805Z"
"auswählen","to choose, to select","Wir müssen die besten Kandidaten für die Stelle auswählen.\nBitte wählen Sie Ihre Lieblingsfarbe aus.\nIch möchte ein Buch aus dem Regal auswählen.","2025-09-30T22:43:15.624Z"
"der Kleiderständer","the clothes rack","Der Kleiderständer im Geschäft ist voll mit Kleidern.\nIch hänge meine Jacke auf den Kleiderständer.\nIch habe einen Kleiderständer in meinem Schlafzimmer, um meine Jacken und Mäntel aufzuhängen.","2025-11-01T11:29:06.902Z"
"die Hülsenfrucht","the legume","Hülsenfrüchte sind eine wichtige Proteinquelle für Vegetarier.\nIn vielen Ländern sind Bohnen ein Grundnahrungsmittel.\nIch esse gerne Linsensuppe, weil sie gesund und nahrhaft ist.","2025-09-29T22:59:41.709Z"
"aufmunternd","encouraging, uplifting","Die aufmunternde Musik machte die Stimmung auf der Feier viel besser.\nDie aufmunternden Worte des Lehrers halfen den Schülern, ihre Angst zu überwinden.\nEs ist wichtig, den Zusammenhang zwischen Ursache und Wirkung zu verstehen.","2025-11-01T11:29:04.173Z"
